"TARIM, ORMANCILIK VE BALIKÇILIK",,
7,ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.
8,ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
9,AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.
10,AYEN,AYEN ENERJİ A.Ş.
11,BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.
12,BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.
13,CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.
14,CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.
15,CANTE,ÇAN2 TERMİK A.Ş.
16,CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.
17,ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.
18,ECOGR,ECOGREEN ENERJİ HOLDİNG A.Ş.
19,ENDAE,ENDA ENERJİ HOLDİNG A.Ş.
20,ENJSA,ENERJİSA ENERJİ A.Ş.
21,ENERY,ENERYA ENERJİ A.Ş.
22,ESEN,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.
23,GWIND,GALATA WIND ENERJİ A.Ş.
24,HUNER,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
25,ENTRA,IC ENTERRA YENİLENEBİLİR ENERJİ A.Ş.
26,IZENR,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.
27,KLYPV,KALYON GÜNEŞ TEKNOLOJİLERİ ÜRETİM A.Ş.
28,LYDYE,LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.
29,MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.
30,MOGAN,MOGAN ENERJİ YATIRIM HOLDİNG A.Ş.
31,NTGAZ,NATURELGAZ SANAYİ VE TİCARET A.Ş.
32,NATEN,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.
33,ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.
34,PAMEL,PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.
35,SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.
36,TATEN,TATLIPINAR ENERJİ ÜRETİM A.Ş.
37,ZEDUR,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.
38,ZOREN,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
,,
,,
İNŞAAT VE BAYINDIRLIK,,
Sıra,Kod,Şirket Unvanı
1,AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.
2,ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.
3,BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.
4,DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.
5,EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.
